N,Drone,Truck Diesel Medium,Petit Van Diesel,Truck Électrique Medium,Petit Van Électrique
171,27.36,90.70699164717414,40.40584173374121,31.335142569023795,13.606048747076121
172,27.52,90.7093862220511,40.40690840800458,31.335969785799467,13.606407933307663
173,27.68,90.71175286020669,40.40796263772843,31.336787351707763,13.606762929031001
174,27.84,90.71409204763305,40.40900463940018,31.337595434636867,13.607113807144955
175,28.0,90.7164042591162,40.410034624515404,31.33839419860378,13.60746063886743
176,28.16,90.71868995855732,40.41105279972099,31.339183803865257,13.607803493783598
177,28.32,90.72094959928255,40.41205936695314,31.339964407024876,13.608142439892381
178,28.48,90.72318362434275,40.413054523570864,31.340736161136586,13.608477543651412
179,28.64,90.72539246680309,40.41403846248502,31.341499215804703,13.608808870020463
180,28.8,90.72757655002246,40.41501137228274,31.34225371728049,13.60913648250337
181,28.96,90.72973628792414,40.41597343734803,31.34299980855561,13.60946044318862
182,29.12,90.731872085257,40.41692483797812,31.343737629452416,13.609780812788548
183,29.28,90.73398433784831,40.41786575049607,31.34446731671123,13.610097650677245
184,29.44,90.7360734328482,40.41879634735966,31.345189004074832,13.61041101492723
185,29.6,90.73813974896615,40.419716797266744,31.34590282237012,13.61072096234492
186,29.76,90.74018365669957,40.42062726525708,31.346608899587125,13.611027548504936
187,29.92,90.74220551855538,40.42152791281104,31.347307360955494,13.611330827783306
188,30.080000000000002,90.74420568926413,40.42241889794494,31.34799832901852,13.61163085338962
189,30.240000000000002,90.74618451598738,40.42330037530347,31.34868192370473,13.611927677398107
190,30.400000000000002,90.74814233851849,40.42417249624915,31.349358262397296,13.612221350777773
191,30.560000000000002,90.7500794894771,40.425035408948894,31.35002746000118,13.612511923421565
192,30.72,90.75199629449746,40.42588925845796,31.350689629008208,13.612799444174618
193,30.88,90.75389307241062,40.42673418680109,31.351344879560028,13.61308396086159
194,31.04,90.75577013542139,40.42757033305134,31.3519933195092,13.613365520313206
195,31.2,90.75762778927943,40.428397833406294,31.352635054478345,13.613644168391913
196,31.36,90.75946633344536,40.429216821262024,31.353270187917488,13.613919950016804
197,31.52,90.76128606125141,40.43002742728472,31.353898821159575,13.614192909187711
198,31.68,90.76308726005757,40.43082977948019,31.354521053474432,13.614463089008634
199,31.84,90.7648702114026,40.431624003261156,31.355136982120897,13.61473053171039
200,32.0,90.76663519115091,40.43241022151268,31.355746702397585,13.614995278672636
201,32.160000000000004,90.76838246963462,40.43318855465542,31.356350307691955,13.61525737044519
202,32.32,90.77011231179155,40.43395912070715,31.356947889527987,13.615516846768731
203,32.480000000000004,90.77182497729922,40.43472203534238,31.357539537612453,13.615773746594881
204,32.64,90.77352072070451,40.435477411950195,31.358125339879738,13.616028108105676
205,32.8,90.77519979155,40.436225361690454,31.35870538253545,13.6162799687325
206,32.96,90.77686243449617,40.4369659935483,31.359279750098676,13.616529365174424
207,33.12,90.7785088894402,40.437699414387,31.359848525442978,13.616776333416029
208,33.28,90.78013939163145,40.43842572899947,31.36041178983632,13.617020908744717
209,33.44,90.78175417178332,40.439145040158024,31.36096962297969,13.617263125767497
210,33.6,90.78335345618213,40.43985744866295,31.36152210304473,13.617503018427318
211,33.76,90.7849374667927,40.44056305338948,31.362069306710204,13.617740620018905
212,33.92,90.78650642136114,40.4412619513336,31.362611309197483,13.61797596320417
213,34.08,90.78806053351452,40.441954237656475,31.363148184305018,13.618209080027178
214,34.24,90.7896000128578,40.44264000572757,31.363680004441786,13.61844000192867
215,34.4,90.79112506506803,40.44331934716667,31.36420684065986,13.618668759760203
216,34.56,90.79263589198597,40.44399235188466,31.36472876268606,13.618895383797895
217,34.72,90.79413269170504,40.44465910812316,31.36524583895265,13.619119903755756
218,34.88,90.79561565865797,40.4453197024931,31.365758136627296,13.619342348798694
219,35.04,90.79708498370087,40.44597422001221,31.36626572164212,13.61956274755513
220,35.2,90.79854085419512,40.446622744141465,31.366768658721952,13.619781128129269
221,35.36,90.79998345408707,40.44726535682061,31.367267011411897,13.61999751811306
222,35.52,90.80141296398537,40.44790213850258,31.367760842104033,13.620211944597804
223,35.68,90.80282956123628,40.44853316818707,31.368250212063437,13.62042443418544
224,35.84,90.8042334199972,40.4491585234533,31.368735181453577,13.620635012999578
225,36.0,90.80562471130791,40.44977828049171,31.369215809360913,13.620843706696185
226,36.160000000000004,90.8070036031599,40.45039251413487,31.369692153818875,13.621050540473984
227,36.32,90.8083702605642,40.4510012978877,31.37016427183127,13.62125553908463
228,36.480000000000004,90.80972484561698,40.451604703956654,31.370632219394956,13.621458726842546
229,36.64,90.81106751756376,40.452202803278404,31.371096051522024,13.621660127634563
230,36.800000000000004,90.81239843286166,40.45279566554747,31.3715558222613,13.621859764929248
231,36.96,90.81371774524031,40.45338335924341,31.372011584719377,13.622057661786044
232,37.12,90.81502560576091,40.45396595165713,31.37246339108104,13.622253840864136
233,37.28,90.81632216287402,40.454543508916615,31.372911292629205,13.622448324431103
234,37.44,90.81760756247543,40.455116096011785,31.373355339764238,13.622641134371314
235,37.6,90.81888194796123,40.45568377681909,31.373795582022968,13.622832292194182
236,37.76,90.82014546028083,40.4562466141251,31.37423206809701,13.623021819042123
237,37.92,90.82139823798906,40.45680466964967,31.374664845850763,13.623209735698357
238,38.08,90.82264041729678,40.457358004068574,31.375093962338887,13.623396062594518
239,38.24,90.82387213212019,40.45790667703536,31.375519463823338,13.623580819818027
240,38.4,90.82509351412905,40.458450747202946,31.375941395790036,13.623764027119357
241,38.56,90.82630469279349,40.45899027224437,31.37635980296502,13.623945703919022
242,38.72,90.82750579542963,40.459525308873204,31.376774729330236,13.624125869314444
243,38.88,90.82869694724458,40.460055912863496,31.377186218139034,13.624304542086685
244,39.04,90.82987827137947,40.46058213906905,31.37759431193109,13.624481740706921
245,39.2,90.83104988895224,40.46110404144236,31.377999052547136,13.624657483342835
246,39.36,90.83221191909874,40.461621673053074,31.378400481143196,13.624831787864808
247,39.52,90.83336447901333,40.46213508610594,31.3787986382046,13.625004671851997
248,39.68,90.83450768398811,40.462644331958344,31.379193563559525,13.625176152598215
249,39.84,90.8356416474515,40.46314946113749,31.379585296392335,13.625346247117724
250,40.0,90.83676648100558,40.46365052335703,31.37997387525647,13.625514972150835
251,40.160000000000004,90.83788229446284,40.46414756753345,31.38035933808716,13.625682344169425
252,40.32,90.83898919588184,40.46464064180191,31.38074172221372,13.625848379382274
253,40.480000000000004,90.84008729160202,40.465129793531815,31.381121064371605,13.626013093740303
254,40.64,90.84117668627798,40.46561506934201,31.38149740071421,13.626176502941696
255,40.800000000000004,90.84225748291242,40.46609651511553,31.38187076682429,13.626338622436862
256,40.96,90.84332978288877,40.46657417601409,31.38224119772521,13.626499467433316
257,41.12,90.84439368600295,40.46704809649222,31.382608727891924,13.62665905290044
258,41.28,90.84544929049406,40.467518320310994,31.382973391261583,13.626817393574107
259,41.44,90.8464966930749,40.46798489055155,31.383335221244057,13.626974503961234
260,41.6,90.84753598896138,40.468447849628255,31.383694250732113,13.627130398344207
261,41.76,90.84856727190133,40.46890723930151,31.38405051211137,13.627285090785199
262,41.92,90.84959063420268,40.469363100690295,31.38440403727002,13.627438595130403
263,42.08,90.85060616676112,40.4698154742845,31.384754857608385,13.627590925014168
264,42.24,90.85161395908688,40.47026439995688,31.38510300404819,13.62774209386303
265,42.4,90.85261409933103,40.470709916974734,31.38544850704163,13.627892114899655
266,42.56,90.85360667431125,40.47115206401138,31.38579139658025,13.628041001146688
267,42.72,90.85459176953697,40.471590879157375,31.386131702203677,13.628188765430544
268,42.88,90.85556946923373,40.472026399931394,31.386469453008015,13.628335420385058
269,43.04,90.8565398563674,40.472458663290936,31.386804677654194,13.62848097845511
270,43.2,90.85750301266754,40.47288770564281,31.387137404376055,13.62862545190013
271,43.36,90.85845901865032,40.47331356285333,31.38746766098829,13.628768852797547
272,43.52,90.85940795364101,40.47373627025827,31.387795474894165,13.628911193046152
273,43.68,90.8603498957959,40.474155862672724,31.388120873093133,13.629052484369385
274,43.84,90.86128492212377,40.474572374400594,31.388443882188213,13.629192738318565
275,44.0,90.86221310850681,40.47498583924395,31.38876452839326,13.629331966276022
276,44.160000000000004,90.86313452972117,40.47539629051216,31.389082837540037,13.629470179458174
277,44.32,90.86404925945708,40.47580376103088,31.38939883508517,13.62960738891856
278,44.480000000000004,90.86495737033846,40.47620828315077,31.38971254611692,13.629743605550768
279,44.64,90.86585893394215,40.47660988875605,31.39002399536183,13.62987884009132
280,44.800000000000004,90.86675402081667,40.47700860927288,31.390333207191212,13.630013103122499
281,44.96,90.86764270050067,40.477404475677574,31.390640205627502,13.630146405075099
282,45.12,90.86852504154089,40.47779751850458,31.39094501435049,13.630278756231133
283,45.28,90.86940111150987,40.4781877678544,31.39124765670341,13.63041016672648
284,45.44,90.87027097702305,40.47857525340118,31.391548155698874,13.630540646553458
285,45.6,90.87113470375584,40.47896000440033,31.391846534024744,13.630670205563375
286,45.76,90.87199235645987,40.47934204969577,31.392142814049773,13.63079885346898
287,45.92,90.87284399897952,40.47972141772725,31.392437017829288,13.630926599846928
288,46.08,90.8736896942675,40.48009813653734,31.39272916711059,13.631053454140124
289,46.24,90.87452950440043,40.48047223377838,31.39301928333833,13.631179425660063
290,46.4,90.87536349059405,40.48084373671917,31.39330738765976,13.631304523589106
291,46.56,90.87619171321805,40.48121267225168,31.393593500929867,13.631428756982706
292,46.72,90.87701423181068,40.48157906689749,31.393877643716415,13.631552134771601
293,46.88,90.87783110509308,40.48194294681419,31.394159836304883,13.631674665763962
294,47.04,90.87864239098299,40.482304337801516,31.39444009870321,13.631796358647447
295,47.2,90.87944814660874,40.48266326530754,31.394718450646653,13.63191722199131
296,47.36,90.8802484283225,40.48301975443457,31.394994911602318,13.632037264248375
297,47.52,90.8810432917135,40.48337382994511,31.39526950077375,13.632156493757023
298,47.68,90.8818327916207,40.483725516267405,31.39554223710533,13.632274918743104
299,47.84,90.88261698214569,40.48407483750127,31.39581313928669,13.632392547321853
300,48.0,90.88339591666482,40.484421817423424,31.39608222575694,13.632509387499722
301,48.160000000000004,90.88416964784146,40.48476647949302,31.396349514708866,13.632625447176219
302,48.32,90.88493822763772,40.485108846856804,31.396615024093027,13.632740734145656
303,48.480000000000004,90.88570170732615,40.48544894235438,31.396878771621758,13.632855256098921
304,48.64,90.88646013750129,40.4857867885233,31.39714077477317,13.632969020625191
305,48.800000000000004,90.88721356809052,40.486122407603965,31.397401050794905,13.633082035213578
306,48.96,90.88796204836527,40.48645582154453,31.397659616707998,13.633194307254788
307,49.120000000000005,90.88870562695175,40.48678705200578,31.3979164893106,13.633305844042761
308,49.28,90.88944435184128,40.48711612036566,31.39817168518153,13.63341665277619
309,49.44,90.89017827040091,40.48744304772404,31.398425220683947,13.633526740560136
310,49.6,90.89090742938319,40.487767854907055,31.398677111968734,13.633636114407476
311,49.76,90.89163187493645,40.4880905624717,31.398927374978044,13.633744781240466
312,49.92,90.89235165261427,40.488411190709996,31.399176025448565,13.63385274789214
313,50.08,90.89306680738518,40.4887297596534,31.399423078914882,13.633960021107777
314,50.24,90.89377738364198,40.48904628907688,31.39966855071268,13.634066607546295
315,50.4,90.89448342521081,40.489360798503,31.399912455981916,13.634172513781621
316,50.56,90.89518497536045,40.48967330720602,31.40015480966997,13.634277746304067
317,50.72,90.89588207681078,40.489983834215714,31.40039562653463,13.634382311521616
318,50.88,90.89657477174177,40.49029239832134,31.400634921147155,13.634486215761264
319,51.04,90.89726310180176,40.49059901807533,31.40087270789515,13.634589465270263
320,51.2,90.89794710811603,40.49090371179714,31.401109000985535,13.634692066217402
321,51.36,90.89862683129472,40.49120649757674,31.401343814447266,13.634794024694207
322,51.52,90.89930231144115,40.49150739327833,31.401577162134213,13.63489534671617
323,51.68,90.89997358815945,40.49180641654376,31.40180905772781,13.634996038223917
324,51.84,90.90064070056246,40.49210358479601,31.402039514739762,13.63509610508437
325,52.0,90.90130368727932,40.49239891524262,31.402268546514676,13.635195553091899
326,52.160000000000004,90.90196258646284,40.4926924248789,31.402496166232616,13.635294387969426
327,52.32,90.90261743579684,40.49298413049132,31.402722386911638,13.635392615369526
328,52.480000000000004,90.90326827250341,40.493274048660616,31.40294722141027,13.63549024087551
329,52.64,90.90391513334988,40.49356219576495,31.403170682429955,13.635587270002482
330,52.800000000000004,90.90455805465577,40.493848587983024,31.403392782517443,13.635683708198364
331,52.96,90.90519707229956,40.49413324129708,31.403613534067116,13.635779560844933
332,53.120000000000005,90.90583222172549,40.4944161714959,31.40383294932335,13.635874833258821
333,53.28,90.90646353794989,40.49469739417768,31.404051040382686,13.635969530692481
334,53.44,90.90709105556782,40.49497692475294,31.404267819196154,13.636063658335173
335,53.6,90.9077148087593,40.495254778447325,31.40448329757139,13.636157221313892
